id,suggested_primary_topic,primary_score,runner_up,runner_up_score,margin,confident,suggested_pet_families
ref-f577b2a7,survey,0.0127,mechanism,0.0073,0.0054,False,
ref-69a11c1f,,0.0,,0.0,0.0,False,
ref-11eb1cd4,mechanism,0.0112,survey,0.0068,0.0043,False,fhe;federated_learning
ref-ef7c2f77,evaluation,0.035,mechanism,0.011,0.024,False,
ref-b94bbe6c,assurance,0.1179,survey,0.0,0.1179,True,synthetic_data
ref-bb6ab8d2,evaluation,0.0359,survey,0.0138,0.0222,False,zkp
ref-96c73a69,assurance,0.0293,survey,0.0113,0.0179,False,synthetic_data
ref-031e3263,mechanism,0.0446,survey,0.0,0.0446,False,differential_privacy;syntactic_anonymisation
ref-696b4f16,survey,0.0108,mechanism,0.0062,0.0046,False,synthetic_data
ref-425917bb,mechanism,0.0252,survey,0.0076,0.0175,False,fhe
ref-692f3ba2,mechanism,0.0111,survey,0.0068,0.0043,False,fhe
ref-c7118a81,mechanism,0.0218,survey,0.0145,0.0073,False,fhe
ref-3647437f,mechanism,0.0205,survey,0.0,0.0205,False,fhe
ref-fce3b285,,0.0,,0.0,0.0,False,
ref-f7941967,governance,0.0544,survey,0.0107,0.0438,False,syntactic_anonymisation
ref-8d2c6f11,,0.0,,0.0,0.0,False,
ref-3aaab597,mechanism,0.0056,survey,0.0,0.0056,False,
ref-c3db5992,,0.0,,0.0,0.0,False,
ref-b284cedb,systems,0.0708,evaluation,0.0658,0.005,False,
ref-93bcc0d9,governance,0.0353,deployment,0.0269,0.0083,False,
ref-566b29bf,governance,0.0268,systems,0.023,0.0038,False,synthetic_data
ref-6be3fe98,,0.0,,0.0,0.0,False,
ref-a010aef5,deployment,0.117,survey,0.0,0.117,True,federated_learning;tee
ref-996e73ea,survey,0.0227,mechanism,0.0136,0.0091,False,mpc
ref-f8b86959,governance,0.0336,survey,0.0147,0.0189,False,syntactic_anonymisation
ref-83ba8709,governance,0.0516,systems,0.0175,0.0341,False,syntactic_anonymisation
ref-1bf848ab,,0.0,,0.0,0.0,False,
ref-26f57ee3,,0.0,,0.0,0.0,False,
ref-e7ee91cd,survey,0.011,deployment,0.0,0.011,False,synthetic_data
ref-f7e4c148,survey,0.0477,mechanism,0.0443,0.0034,False,differential_privacy;synthetic_data
ref-082da7cc,survey,0.0531,mechanism,0.0057,0.0474,False,synthetic_data
ref-6d7b3e19,survey,0.0102,deployment,0.0,0.0102,False,federated_learning
ref-98ce037d,mechanism,0.0214,survey,0.009,0.0124,False,federated_learning
ref-9fe72039,mechanism,0.0607,assurance,0.0234,0.0373,False,zkp
ref-fddd7b4f,deployment,0.1101,survey,0.0713,0.0388,False,differential_privacy
ref-c55155a2,evaluation,0.0353,mechanism,0.0274,0.0079,False,fhe
ref-dc8cc1e7,,0.0,,0.0,0.0,False,
ref-facc7cac,mechanism,0.1419,systems,0.0459,0.096,True,mpc
ref-acec5dee,,0.0,,0.0,0.0,False,
ref-940a42a8,survey,0.0152,deployment,0.0,0.0152,False,
ref-c2a51bb0,,0.0,,0.0,0.0,False,
ref-83e3ba29,mechanism,0.0377,assurance,0.0268,0.0109,False,
ref-db4ea833,,0.0,,0.0,0.0,False,
ref-25930b66,,0.0,,0.0,0.0,False,
ref-ac3cc3c2,survey,0.0104,mechanism,0.0073,0.0031,False,syntactic_anonymisation
ref-c353906d,survey,0.0101,deployment,0.0,0.0101,False,federated_learning
ref-64ee74d7,survey,0.0547,deployment,0.0,0.0547,True,zkp
ref-bd0ac3d7,,0.0,,0.0,0.0,False,
ref-dce4e078,assurance,0.0221,survey,0.0095,0.0126,False,federated_learning
ref-a240dc84,,0.0,,0.0,0.0,False,
ref-d11febc7,mechanism,0.019,survey,0.014,0.005,False,federated_learning
ref-e0c69ac8,mechanism,0.0092,survey,0.0,0.0092,False,syntactic_anonymisation
ref-35934434,,0.0,,0.0,0.0,False,
ref-1a35257e,assurance,0.0539,survey,0.0185,0.0354,False,
ref-36397f5a,mechanism,0.0148,survey,0.0091,0.0057,False,fhe
ref-502101a0,mechanism,0.0092,survey,0.0,0.0092,False,
ref-a8701836,survey,0.0182,deployment,0.0,0.0182,False,synthetic_data
ref-e908505e,assurance,0.0511,mechanism,0.0336,0.0175,False,differential_privacy
ref-90386834,survey,0.0107,deployment,0.0,0.0107,False,
ref-f732c5bc,mechanism,0.2214,survey,0.0,0.2214,True,mpc
ref-64c16f7e,,0.0,,0.0,0.0,False,
ref-8589e07f,governance,0.0759,survey,0.0253,0.0506,True,
ref-6d274370,survey,0.0466,mechanism,0.0131,0.0335,False,fhe
ref-7cf69319,,0.0,,0.0,0.0,False,
ref-8338ba88,mechanism,0.0682,survey,0.0,0.0682,True,differential_privacy
ref-041f7f27,,0.0,,0.0,0.0,False,
ref-a95c23fb,assurance,0.0598,survey,0.0,0.0598,True,
ref-b1a89675,evaluation,0.044,deployment,0.0305,0.0134,False,differential_privacy
ref-b66dee06,systems,0.0284,assurance,0.0202,0.0082,False,tee
ref-e668e417,mechanism,0.0398,governance,0.0333,0.0065,False,mpc
ref-79e0261b,systems,0.037,mechanism,0.007,0.03,False,
ref-c5b322a2,,0.0,,0.0,0.0,False,
ref-7f1302e2,,0.0,,0.0,0.0,False,
ref-58dca6d8,survey,0.089,deployment,0.021,0.068,True,
ref-0e8f1a0c,,0.0,,0.0,0.0,False,
ref-80ddbc30,mechanism,0.0711,survey,0.0,0.0711,True,differential_privacy
ref-6656e309,survey,0.0115,deployment,0.0,0.0115,False,syntactic_anonymisation
ref-8b0108bd,survey,0.0192,evaluation,0.0191,0.0001,False,federated_learning
ref-46a18802,governance,0.0231,systems,0.0198,0.0032,False,
ref-88ee23da,deployment,0.0242,mechanism,0.0239,0.0003,False,differential_privacy;tee
ref-8e343f28,deployment,0.0543,assurance,0.03,0.0242,False,differential_privacy
ref-0e6df851,mechanism,0.0137,survey,0.0,0.0137,False,fhe
ref-652a4552,mechanism,0.0118,survey,0.0,0.0118,False,
ref-d4ac4970,mechanism,0.0817,survey,0.0154,0.0663,True,zkp
ref-b75d00fe,deployment,0.1123,survey,0.0,0.1123,True,
ref-f7c5282f,survey,0.0076,deployment,0.0,0.0076,False,
ref-3387b86a,mechanism,0.0051,survey,0.0,0.0051,False,
ref-d3a3d0a2,governance,0.037,mechanism,0.0121,0.0249,False,
ref-e13bf926,survey,0.0238,deployment,0.0,0.0238,False,
ref-46aed7c4,survey,0.0522,deployment,0.0,0.0522,True,tee
ref-36edf7d4,systems,0.0389,deployment,0.0318,0.0072,False,federated_learning
ref-8da87d0a,systems,0.0804,survey,0.0,0.0804,True,federated_learning
ref-dc0243d8,mechanism,0.0105,survey,0.0,0.0105,False,
ref-b7a6fc9a,mechanism,0.0334,survey,0.0,0.0334,False,
ref-def39d60,deployment,0.0665,mechanism,0.03,0.0365,False,differential_privacy
ref-203b892f,deployment,0.0332,survey,0.0,0.0332,False,
ref-3fe3f25a,governance,0.03,survey,0.0117,0.0182,False,
ref-c1291703,governance,0.0967,survey,0.0,0.0967,True,synthetic_data
ref-853f811e,mechanism,0.0136,survey,0.0127,0.0009,False,
ref-789b4b7f,survey,0.0297,mechanism,0.0052,0.0245,False,syntactic_anonymisation
ref-2887d8ed,,0.0,,0.0,0.0,False,
ref-3cae6369,deployment,0.033,survey,0.0241,0.0089,False,synthetic_data
ref-4ac68b5a,assurance,0.0626,mechanism,0.0539,0.0088,False,differential_privacy
ref-aed9e360,evaluation,0.0443,mechanism,0.0174,0.0269,False,tee
ref-74ac3db7,,0.0,,0.0,0.0,False,
ref-3d1bdb48,systems,0.0279,mechanism,0.0104,0.0175,False,fhe
ref-cc5ed4e5,survey,0.0739,mechanism,0.0051,0.0688,True,zkp
ref-fdc63d96,systems,0.1506,evaluation,0.0767,0.0739,True,fhe
ref-aa341217,survey,0.0134,deployment,0.0,0.0134,False,synthetic_data
ref-a04ec511,mechanism,0.1006,survey,0.0479,0.0527,True,zkp
ref-2468004f,deployment,0.0293,survey,0.0183,0.0111,False,
ref-9edcf2e5,evaluation,0.0307,deployment,0.0176,0.0131,False,
ref-7b5f603c,deployment,0.0506,mechanism,0.0072,0.0434,False,synthetic_data
ref-f6d22165,survey,0.0413,deployment,0.0,0.0413,False,
ref-1d07944c,,0.0,,0.0,0.0,False,
ref-7e4602dc,survey,0.0533,evaluation,0.0368,0.0165,False,
ref-2a2b1517,assurance,0.0298,survey,0.0136,0.0161,False,federated_learning;synthetic_data
ref-bceaf7e7,mechanism,0.0494,survey,0.0103,0.0391,False,zkp
ref-ed6a0acd,mechanism,0.005,survey,0.0,0.005,False,mpc
ref-d1679c21,survey,0.0079,deployment,0.0,0.0079,False,
ref-f2f889a0,governance,0.0296,systems,0.0255,0.0042,False,
ref-38cf4a31,survey,0.0273,deployment,0.0,0.0273,False,federated_learning
ref-8be6470e,survey,0.0194,deployment,0.0,0.0194,False,synthetic_data
ref-70cd3e8e,survey,0.0256,deployment,0.0,0.0256,False,
ref-20136b77,deployment,0.0901,survey,0.0566,0.0335,False,federated_learning
ref-a8f554bc,deployment,0.0245,survey,0.0244,0.0002,False,
ref-1770fbae,governance,0.0312,survey,0.0252,0.006,False,
ref-f39db4f9,assurance,0.0442,survey,0.0,0.0442,False,
ref-81b9513c,mechanism,0.0302,deployment,0.0286,0.0015,False,differential_privacy
ref-78046d90,governance,0.0367,systems,0.0315,0.0052,False,
ref-6817a378,mechanism,0.0262,survey,0.0,0.0262,False,
ref-d7b5bfc3,mechanism,0.0069,survey,0.0,0.0069,False,
ref-dbfa0943,mechanism,0.0178,survey,0.0,0.0178,False,
ref-8f1abe85,survey,0.0131,deployment,0.0,0.0131,False,tee
ref-a63f4364,governance,0.0371,deployment,0.0283,0.0088,False,
ref-76da8e64,,0.0,,0.0,0.0,False,
ref-0938127e,deployment,0.023,survey,0.0,0.023,False,federated_learning
ref-9254e1ed,mechanism,0.042,survey,0.0,0.042,False,federated_learning
ref-13881075,deployment,0.1122,mechanism,0.0544,0.0577,True,zkp
ref-f8211ef7,survey,0.0065,deployment,0.0,0.0065,False,
ref-499e5c81,deployment,0.0546,survey,0.0237,0.0308,False,
ref-0904d5a3,survey,0.0093,deployment,0.0,0.0093,False,synthetic_data
ref-4b71df4c,evaluation,0.0454,survey,0.0111,0.0343,False,federated_learning
ref-3680077f,mechanism,0.0144,survey,0.0,0.0144,False,
ref-f3f8305e,,0.0,,0.0,0.0,False,
ref-6d7d895a,survey,0.0216,deployment,0.0,0.0216,False,synthetic_data
ref-812a8713,survey,0.0192,deployment,0.0,0.0192,False,
ref-2de64f57,mechanism,0.0109,survey,0.0,0.0109,False,synthetic_data
ref-455895c4,,0.0,,0.0,0.0,False,
ref-3b734459,assurance,0.0349,mechanism,0.0086,0.0264,False,syntactic_anonymisation
ref-3f3479a0,,0.0,,0.0,0.0,False,
ref-ca61486a,survey,0.0122,deployment,0.0,0.0122,False,syntactic_anonymisation
ref-e8d083f9,mechanism,0.0091,survey,0.0,0.0091,False,
ref-3898cadf,evaluation,0.0365,survey,0.0,0.0365,False,
ref-0b0ed7de,survey,0.0087,deployment,0.0,0.0087,False,synthetic_data
ref-6bb14e4c,mechanism,0.0854,systems,0.0598,0.0256,False,zkp
ref-cfd118a6,survey,0.0226,mechanism,0.0049,0.0177,False,
ref-b709ae44,mechanism,0.0079,survey,0.0,0.0079,False,federated_learning
ref-25802bbf,survey,0.0195,deployment,0.0,0.0195,False,
ref-d0a8c87b,,0.0,,0.0,0.0,False,
ref-0972619f,assurance,0.0333,deployment,0.0318,0.0014,False,
ref-9e77014b,,0.0,,0.0,0.0,False,
ref-5a7a9933,survey,0.0266,deployment,0.0,0.0266,False,tee
ref-6339175c,survey,0.076,mechanism,0.0074,0.0686,True,
ref-8c22a0e4,mechanism,0.0634,evaluation,0.0363,0.0271,False,zkp
ref-ab51e64d,assurance,0.0253,survey,0.0,0.0253,False,
ref-e77defa6,mechanism,0.0305,survey,0.0,0.0305,False,differential_privacy
ref-7c10e6c3,survey,0.0072,deployment,0.0,0.0072,False,fhe
ref-b0cbc422,mechanism,0.0424,survey,0.0084,0.034,False,fhe;tee
ref-0ad88ad5,evaluation,0.0745,mechanism,0.0377,0.0369,False,differential_privacy;federated_learning
ref-330132a4,deployment,0.0242,survey,0.0162,0.008,False,
ref-0a503589,,0.0,,0.0,0.0,False,
ref-7037f94b,,0.0,,0.0,0.0,False,
ref-73194b54,deployment,0.0473,survey,0.0,0.0473,False,federated_learning
ref-6bdcf25d,mechanism,0.0384,survey,0.0125,0.0258,False,differential_privacy;federated_learning
ref-69281c82,evaluation,0.0983,survey,0.0392,0.0591,True,fhe
ref-ec679c48,survey,0.0114,deployment,0.0,0.0114,False,federated_learning
ref-fb63fd8c,survey,0.0101,deployment,0.0,0.0101,False,
ref-36309406,survey,0.0086,deployment,0.0,0.0086,False,federated_learning
ref-5a3b1520,survey,0.0361,mechanism,0.0059,0.0302,False,synthetic_data
ref-a6247c4c,assurance,0.1285,mechanism,0.027,0.1015,True,
ref-65e85172,survey,0.01,deployment,0.0,0.01,False,federated_learning
ref-cbbf0f56,survey,0.0429,deployment,0.0,0.0429,False,federated_learning
ref-04b589e0,survey,0.0576,mechanism,0.0205,0.037,False,fhe
ref-5d5eb95f,assurance,0.0501,survey,0.0,0.0501,True,federated_learning
ref-105087e2,,0.0,,0.0,0.0,False,
ref-4fa40d48,assurance,0.0514,survey,0.0,0.0514,True,
ref-cdbd7250,mechanism,0.0552,systems,0.0278,0.0274,False,zkp
ref-3b3f8112,evaluation,0.0369,survey,0.0,0.0369,False,
