id,number,text_strategy,source,status,http_status,n_chars,title_match,title_seen,text
ref-3b5fb542,11,abstract,semantic_scholar,ok,200,1178,1.0,Geo-indistinguishability: differential privacy for location-based systems,"The growing popularity of location-based systems, allowing unknown/untrusted servers to easily collect huge amounts of information regarding users' location, has recently started raising serious privacy concerns. In this paper we introduce geoind, a formal notion of privacy for location-based systems that protects the user's exact location, while allowing approximate information -- typically needed to obtain a certain desired service -- to be released. This privacy definition formalizes the intuitive notion of protecting the user's location within a radius $r$ with a level of privacy that depends on r, and corresponds to a generalized version of the well-known concept of differential privacy. Furthermore, we present a mechanism for achieving geoind by adding controlled random noise to the user's location. We describe how to use our mechanism to enhance LBS applications with geo-indistinguishability guarantees without compromising the quality of the application results. Finally, we compare state-of-the-art mechanisms from the literature with ours. It turns out that, among all mechanisms independent of the prior, our mechanism offers the best privacy guarantees."
ref-c38dce0d,12,full,web_page,ok,200,700,1.0,Private Cloud Compute: A new frontier for AI privacy in the cloud - Apple Security Research,"Secure and private AI processing in the cloud poses a formidable new challenge. To support advanced features of Apple Intelligence with larger foundation models, we created Private Cloud Compute (PCC), a groundbreaking cloud intelligence system designed specifically for private AI processing. Built with custom Apple silicon and a hardened operating system, Private Cloud Compute extends the industry-leading security and privacy of Apple devices into the cloud, making sure that personal user data sent to PCC isn’t accessible to anyone other than the user — not even to Apple. We believe Private Cloud Compute is the most advanced security architecture ever deployed for cloud AI compute at scale."
ref-eeb53da8,13,abstract,semantic_scholar,ok,200,418,1.0,From Keys to Databases - Real-World Applications of Secure Multi-Party Computation,". We discuss the widely increasing range of applications of a cryptographic technique called Multi-Party Computation. For many decades this was perceived to be of purely theoretical interest, but now it has started to ﬁnd application in a number of use cases. We highlight in this paper a number of these, ranging from securing small high value items such as cryptographic keys, through to securing an entire database."
ref-7aa32465,14,abstract,openalex_title,ok,200,1063,1.0,SCONE: secure Linux containers with Intel SGX,"In multi-tenant environments, Linux containers managed by Docker or Kubernetes have a lower resource footprint, faster startup times, and higher I/O performance compared to virtual machines (VMs) on hypervisors. Yet their weaker isolation guarantees, enforced through software kernel mechanisms, make it easier for attackers to compromise the confidentiality and integrity of application data within containers.We describe SCONE, a secure container mechanism for Docker that uses the SGX trusted execution support of Intel CPUs to protect container processes from outside attacks. The design of SCONE leads to (i) a small trusted computing base (TCB) and (ii) a low performance overhead: SCONE offers a secure C standard library interface that transparently encrypts/decrypts I/O data; to reduce the performance impact of thread synchronization and system calls within SGX enclaves, SCONE supports user-level threading and asynchronous system calls. Our evaluation shows that it protects unmodified applications with SGX, achieving 0.6×-1.2× of native throughput."
ref-ba20c1ba,15,summary,pdf,ok,200,1500,,,"Generating synthetic data in finance: opportunities, challenges and pitfalls SamuelAssefa1, DanialDervovic1, MahmoudMahfouz1 TuckerBalch1, PrashantReddy1, andManuelaVeloso1 1JPMorganChase&Co., samuel.a.assefa@jpmorgan.com Abstract Financialservicesgenerateahugevolumeofdatathatisextremelycomplexand varied. Thesedatasetsareoftenstoredinsiloswithinorganisationsforvarious reasons,includingbutnotlimitedto,regulatoryrequirementsandbusinessneeds. Asaresult,datasharingwithindifferentlinesofbusinessaswellasoutsideofthe organisation(e.g. totheresearchcommunity)isseverelylimited. Itistherefore criticaltoinvestigatemethodsforsynthesisingfinancialdatasetsthatfollowthe samepropertiesoftherealdatawhilerespectingtheneedforprivacyoftheparties involvedinaparticulardataset. Thisintroductorypaperaimstohighlightthegrowingneedforeffectivesynthetic datagenerationinthefinancialdomain. Wehighlightthreemainareasoffocusfor theacademiccommunity: 1)Generatingrealisticsyntheticdatasets. 2)Measuring the similarities between real and generated datasets 3) Ensuring the generative processsatisfiesanyprivacyconstraints. Althoughthesechallengesarealsopresentinotherdomains,theextraregulatory andprivacyrequirementsaddanotherdimensionofcomplexityandofferaunique opportunitytostudythetopicinfinancialservices. Finally,weaimtodevelopa sharedvocabularyandcontextforgeneratingsyntheticfinancialdatausingtwo typesoffinancialdatasetsasexamples. 1 Introduction Financialdatacontainssomeofthemostsensitiveandpersonallyidentifia"
ref-fa01a975,16,abstract,arxiv,ok,200,1879,1.0,Bringing data minimization to digital wallets at scale with general-purpose zero-knowledge proofs,"Today, digital identity management for individuals is either inconvenient and error-prone or creates undesirable lock-in effects and violates privacy and security expectations. These shortcomings inhibit the digital transformation in general and seem particularly concerning in the context of novel applications such as access control for decentralized autonomous organizations and identification in the Metaverse. Decentralized or self-sovereign identity (SSI) aims to offer a solution to this dilemma by empowering individuals to manage their digital identity through machine-verifiable attestations stored in a ""digital wallet"" application on their edge devices. However, when presented to a relying party, these attestations typically reveal more attributes than required and allow tracking end users' activities. Several academic works and practical solutions exist to reduce or avoid such excessive information disclosure, from simple selective disclosure to data-minimizing anonymous credentials based on zero-knowledge proofs (ZKPs). We first demonstrate that the SSI solutions that are currently built with anonymous credentials still lack essential features such as scalable revocation, certificate chaining, and integration with secure elements. We then argue that general-purpose ZKPs in the form of zk-SNARKs can appropriately address these pressing challenges. We describe our implementation and conduct performance tests on different edge devices to illustrate that the performance of zk-SNARK-based anonymous credentials is already practical. We also discuss further advantages that general-purpose ZKPs can easily provide for digital wallets, for instance, to create ""designated verifier presentations"" that facilitate new design options for digital identity infrastructures that previously were not accessible because of the threat of man-in-the-middle attacks."
ref-48635619,17,abstract,web_page,ok,200,1252,0.76,"[1811.00778] Towards the AlexNet Moment for Homomorphic Encryption: HCNN, theFirst Homomorphic CNN on Encrypted Data with GPUs","Deep Learning as a Service (DLaaS) stands as a promising solution for cloud-based inference applications. In this setting, the cloud has a pre-learned model whereas the user has samples on which she wants to run the model. The biggest concern with DLaaS is user privacy if the input samples are sensitive data. We provide here an efficient privacy-preserving system by employing high-end technologies such as Fully Homomorphic Encryption (FHE), Convolutional Neural Networks (CNNs) and Graphics Processing Units (GPUs). FHE, with its widely-known feature of computing on encrypted data, empowers a wide range of privacy-concerned applications. This comes at high cost as it requires enormous computing power. In this paper, we show how to accelerate the performance of running CNNs on encrypted data with GPUs. We evaluated two CNNs to classify homomorphically the MNIST and CIFAR-10 datasets. Our solution achieved a sufficient security level (> 80 bit) and reasonable classification accuracy (99%) and (77.55%) for MNIST and CIFAR-10, respectively. In terms of latency, we could classify an image in 5.16 seconds and 304.43 seconds for MNIST and CIFAR-10, respectively. Our system can also classify a batch of images (> 8,000) without extra overhead."
ref-47746551,18,abstract,web_page,ok,200,1115,1.0,[1905.12101] Differential Privacy Has Disparate Impact on Model Accuracy,"Differential privacy (DP) is a popular mechanism for training machine learning models with bounded leakage about the presence of specific points in the training data. The cost of differential privacy is a reduction in the model's accuracy. We demonstrate that in the neural networks trained using differentially private stochastic gradient descent (DP-SGD), this cost is not borne equally: accuracy of DP models drops much more for the underrepresented classes and subgroups. For example, a gender classification model trained using DP-SGD exhibits much lower accuracy for black faces than for white faces. Critically, this gap is bigger in the DP model than in the non-DP model, i.e., if the original model is unfair, the unfairness becomes worse once DP is applied. We demonstrate this effect for a variety of tasks and models, including sentiment analysis of text and image classification. We then explain why DP training mechanisms such as gradient clipping and noise addition have disproportionate effect on the underrepresented and more complex subgroups, resulting in a disparate reduction of model accuracy."
ref-a237caa1,19,abstract,arxiv,ok,200,1659,1.0,Secure Stateful Aggregation: A Practical Protocol with Applications in Differentially-Private Federated Learning,"Recent advances in differentially private federated learning (DPFL) algorithms have found that using correlated noise across the rounds of federated learning (DP-FTRL) yields provably and empirically better accuracy than using independent noise (DP-SGD). While DP-SGD is well-suited to federated learning with a single untrusted central server using lightweight secure aggregation protocols, secure aggregation is not conducive to implementing modern DP-FTRL techniques without assuming a trusted central server. DP-FTRL based approaches have already seen widespread deployment in industry, albeit with a trusted central curator who provides and applies the correlated noise. To realize a fully private, single untrusted server DP-FTRL federated learning protocol, we introduce secure stateful aggregation: a simple append-only data structure that allows for the private storage of aggregate values and reading linear functions of the aggregates. Assuming Ring Learning with Errors, we provide a lightweight and scalable realization of this protocol for high-dimensional data in a new security/resource model, Federated MPC : where a powerful persistent server interacts with weak, ephemeral clients. We observe that secure stateful aggregation suffices for realizing DP-FTRL-based private federated learning: improving DPFL utility guarantees over the state of the art while maintaining privacy with an untrusted central party. Our approach has minimal overhead relative to existing techniques which do not yield comparable utility. The secure stateful aggregation primitive and the federated MPC paradigm may be of interest for other practical applications."
ref-be892c89,20,abstract,title_fallback,fallback,200,0,,,
ref-d124970b,21,summary,pdf,ok,200,1500,,,"Occasional Paper No 24 Managing explanations: how regulators can address AI explainability by Fernando Pérez-Cruz, Jermy Prenio, Fernando Restoy, Jeffery Yong September 2025 JEL classification: C60, G29, G38, O30 Keywords: artificial intelligence, machine learning, model risk management, risk governance FSI Occasional Papers aim to contribute to international discussions on a wide range of topics of relevance to the financial industry and its regulation and supervision. The views expressed in them are solely those of the authors and do not necessarily reflect those of the BIS or the Basel-based standard-setting bodies. This publication is available on the BIS website (www.bis.org). To contact the BIS Global Media and Public Relations team, please email media@bis.org. You can sign up for email alerts at www.bis.org/emailalerts.htm. © Bank for International Settlements 2025. All rights reserved. Brief excerpts may be reproduced or translated provided the source is stated. ISSN 1020-9999 (online) Abstract The increasing adoption of artificial intelligence (AI) by financial institutions is transforming their operations, risk management and customer interactions. Nevertheless, the limited explainability of complex AI models, particularly when used in critical business applications, poses significant challenges and issues for financial institutions and regulators. Explainability, or the extent to which a model’s output can be explained to a human, is essential for transparency, acc"
ref-be06862c,22,abstract,title_fallback,fallback,,0,,,
ref-bd0a88ac,23,abstract,arxiv,ok,200,1897,1.0,FedSyn: Synthetic Data Generation using Federated Learning,"As Deep Learning algorithms continue to evolve and become more sophisticated, they require massive datasets for model training and efficacy of models. Some of those data requirements can be met with the help of existing datasets within the organizations. Current Machine Learning practices can be leveraged to generate synthetic data from an existing dataset. Further, it is well established that diversity in generated synthetic data relies on (and is perhaps limited by) statistical properties of available dataset within a single organization or entity. The more diverse an existing dataset is, the more expressive and generic synthetic data can be. However, given the scarcity of underlying data, it is challenging to collate big data in one organization. The diverse, non-overlapping dataset across distinct organizations provides an opportunity for them to contribute their limited distinct data to a larger pool that can be leveraged to further synthesize. Unfortunately, this raises data privacy concerns that some institutions may not be comfortable with. This paper proposes a novel approach to generate synthetic data - FedSyn. FedSyn is a collaborative, privacy preserving approach to generate synthetic data among multiple participants in a federated and collaborative network. FedSyn creates a synthetic data generation model, which can generate synthetic data consisting of statistical distribution of almost all the participants in the network. FedSyn does not require access to the data of an individual participant, hence protecting the privacy of participant's data. The proposed technique in this paper leverages federated machine learning and generative adversarial network (GAN) as neural network architecture for synthetic data generation. The proposed method can be extended to many machine learning problem classes in finance, health, governance, technology and many more."
ref-9ba51dec,24,abstract,web_page,ok,200,1500,1.0,Privacy and Synthetic Datasets - Journal Article - Stanford Law School,"Sharing is a virtue, instilled in us from childhood. Unfortunately, when it comes to big data—i.e., databases possessing the potential to usher in a logo-full logo-stanford-university logo menu-close menu Close Icon Icon with an X to denote closing. Play Icon Play icon in a circular border. Skip to main content Abstract Sharing is a virtue, instilled in us from childhood. Unfortunately, when it comes to big data—i.e., databases possessing the potential to usher in a whole new world of scientific progress—the legal landscape is either too greedy or too Laissez-Faire. Either all identifiers must be stripped from the data, rendering it useless, or one-step removed personally identifiable information may be shared freely, freely sharing secrets. In part, this is a result of the historic solution to database privacy, anonymization, a subtractive technique incurring not only poor privacy results, but also lackluster utility. In anonymization’s stead, differential privacy arose; it provides better, near-perfect privacy, but is nonetheless subtractive in terms of utility. Today, another solution is leaning into the fore, synthetic data. Using the magic of machine learning, synthetic data offers a generative, additive approach—the creation of almost-but-not-quite replica data. In fact, as we recommend, synthetic data may be combined with differential privacy to achieve a best-of-both-worlds scenario. After unpacking the technical nuances of synthetic data, we analyze its legal implica"
ref-da52afa2,25,summary,pdf,ok,200,1500,,,"Scalable, transparent, and post-quantum secure computational integrity EliBen-Sasson* IddoBentov† YinonHoresh* MichaelRiabzev* March6,2018 Abstract Humandignitydemandsthatpersonalinformation,likemedicalandforensicdata,behiddenfromthe public. Butveilsofsecrecydesignedtopreserveprivacymayalsobeabusedtocoverupliesanddeceit byinstitutionsentrustedwithData,unjustlyharmingcitizensanderodingtrustincentralinstitutions. Zeroknowledge(ZK)proofsystemsareaningeniouscryptographicsolutiontothistensionbetween the ideals of personal privacy and institutional integrity, enforcing the latter in a way that does not compromise the former. Public trust demands transparency from ZK systems, meaning they be set up withnorelianceonanytrustedparty,andhavenotrapdoorsthatcouldbeexploitedbypowerfulpartiesto bearfalsewitness. ForZKsystemstobeusedwithBigData,itisimperativethatthepublicverification process scale sublinearly in data size. Transparent ZK proofs that can be verified exponentially faster than data size were first described in the 1990s but early constructions were impractical, and no ZK system realized thus far in code (including that used by crypto-currencies like Zcash™) has achieved bothtransparencyandexponentialverificationspeedup,simultaneously,forgeneralcomputations. Here we report the first realization of a transparent ZK system (ZK-STARK) in which verification scales exponentially faster than database size, and moreover, this exponential speedup in verification is observed concretely f"
ref-8f7ae4c7,26,abstract,pdf,ok,200,1500,,,"Machine Learning with Adversaries: Byzantine Tolerant Gradient Descent PevaBlanchard ElMahdiElMhamdi∗ EPFL,Switzerland EPFL,Switzerland peva.blanchard@epfl.ch elmahdi.elmhamdi@epfl.ch RachidGuerraoui JulienStainer EPFL,Switzerland EPFL,Switzerland rachid.guerraoui@epfl.ch julien.stainer@epfl.ch Abstract We study the resilience to Byzantine failures of distributed implementations of StochasticGradientDescent(SGD).Sofar,distributedmachinelearningframe- works have largely ignored the possibility of failures, especially arbitrary (i.e., Byzantine)ones. Causesoffailuresincludesoftwarebugs,networkasynchrony, biasesinlocaldatasets,aswellasattackerstryingtocompromisetheentiresystem. Assumingasetofnworkers,uptof beingByzantine,weaskhowresilientcan SGDbe,withoutlimitingthedimension,northesizeoftheparameterspace. We firstshowthatnogradientaggregationrulebasedonalinearcombinationofthevec- torsproposedbytheworkers(i.e,currentapproaches)toleratesasingleByzantine failure. Wethenformulatearesiliencepropertyoftheaggregationrulecapturing thebasicrequirementstoguaranteeconvergencedespitef Byzantineworkers. We proposeKrum,anaggregationrulethatsatisfiesourresilienceproperty,whichwe argueisthefirstprovablyByzantine-resilientalgorithmfordistributedSGD.We alsoreportonexperimentalevaluationsofKrum. 1 Introduction The increasing amount of data available [6], together with the growing complexity of machine learningmodels[27],hasledtolearningschemesthatrequirealotofcomputationalresources. Asa consequenc"
ref-2e94c168,27,abstract,web_page,ok,200,1500,1.0,Secure Multiparty Computation Goes Live | Springer Nature Link,"In this note, we report on the first large-scale and practical application of secure multiparty computation, which took place in January 2008. We also report on the novel cryptographic protocols that were used. Financial Cryptography and Data Security (FC 2009) Abstract In this note, we report on the first large-scale and practical application of secure multiparty computation, which took place in January 2008. We also report on the novel cryptographic protocols that were used. This work was supported by the Danish Strategic Research Council and the European Commision. Tomas Toft’s work was partially performed at Aarhus University. In Holland, he was supported by the research program Sentinels, financed by Technology Foundation STW, the Netherlands Organization for Scientific Research (NWO), and the Dutch Ministry of Economic Affairs. This is a preview of subscription content, log in via an institution to check access. Unable to display preview. Download preview PDF. Unable to display preview. Download preview PDF. Bogetoft, P., Damgård, I., Jakobsen, T., Nielsen, K., Pagter, J., Toft, T.: A Practical Implementation of Secure Auctions based on Multiparty Integer Computation. In: Di Crescenzo, G., Rubin, A. (eds.) FC 2006. LNCS, vol. 4107, pp. 142–147. Springer, Heidelberg (2006) Bogetoft, P., Boye, K., Neergaard-Petersen, H., Nielsen, K.: Reallocating sugar beet contracts: Can sugar production survive in Denmark? European Review of Agricultural Economics (34), 1–20 (2007) Ben-"
ref-191956c4,28,abstract,openalex,ok,200,1047,1.0,Practical Secure Aggregation for Privacy-Preserving Machine Learning,"We design a novel, communication-efficient, failure-robust protocol for secure aggregation of high-dimensional data. Our protocol allows a server to compute the sum of large, user-held data vectors from mobile devices in a secure manner (i.e. without learning each user's individual contribution), and can be used, for example, in a federated learning setting, to aggregate user-provided model updates for a deep neural network. We prove the security of our protocol in the honest-but-curious and active adversary settings, and show that security is maintained even if an arbitrarily chosen subset of users drop out at any time. We evaluate the efficiency of our protocol and show, by complexity analysis and a concrete implementation, that its runtime and communication overhead remain low even on large data sets and client pools. For 16-bit input values, our protocol offers $1.73 x communication expansion for 210 users and 220-dimensional vectors, and 1.98 x expansion for 214 users and 224-dimensional vectors over sending data in the clear."
ref-17bd4703,29,abstract,title_fallback,fallback,200,0,,,
ref-e4c2c4be,30,abstract,title_fallback,fallback,,0,,,
ref-47d86e16,31,abstract,openalex_title,ok,200,1057,1.0,The Secret Sharer: Evaluating and Testing Unintended Memorization in Neural Networks,"This paper describes a testing methodology for quantitatively assessing the risk that rare or unique training-data sequences are unintentionally memorized by generative sequence models---a common type of machine-learning model. Because such models are sometimes trained on sensitive data (e.g., the text of users' private messages), this methodology can benefit privacy by allowing deep-learning practitioners to select means of training that minimize such memorization. In experiments, we show that unintended memorization is a persistent, hard-to-avoid issue that can have serious consequences. Specifically, for models trained without consideration of memorization, we describe new, efficient procedures that can extract unique, secret sequences, such as credit card numbers. We show that our testing strategy is a practical and easy-to-use first line of defense, e.g., by describing its application to quantitatively limit data exposure in Google's Smart Compose, a commercial text-completion neural network trained on millions of users' email messages."
ref-4c472b2f,32,abstract,title_fallback,fallback,,0,,,
ref-09919479,33,abstract,web_page,ok,200,1500,1.0,SoK: What Don't We Know? Understanding Security Vulnerabilities in SNARKs | USENIX,"Stefanos Chaliasos, Imperial College London; Jens Ernstberger, Technical University of Munich; David Theodore, Ethereum Foundation; David Wong, zkSecurity; Mohammad Jahanara, Scroll Foundation; Benjamin Livshits, Imperial College London & Matter Labs Zero-knowledge proofs (ZKPs) have evolved from being a theoretical concept providing privacy and verifiability to having practical, real-world implementations, with SNARKs (Succinct Non-Interactive Argument of Knowledge) emerging as one of the most significant innovations. Prior work has mainly focused on designing more efficient SNARK systems and providing security proofs for them. Many think of SNARKs as ""just math,"" implying that what is proven to be correct and secure is correct in practice. In contrast, this paper focuses on assessing end-to-end security properties of real-life SNARK implementations. We start by building foundations with a system model and by establishing threat models and defining adversarial roles for systems that use SNARKs. Our study encompasses an extensive analysis of 141 actual vulnerabilities in SNARK implementations, providing a detailed taxonomy to aid developers and security researchers in understanding the security threats in systems employing SNARKs. Finally, we evaluate existing defense mechanisms and offer recommendations for enhancing the security of SNARK-based systems, paving the way for more robust and reliable implementations in the future. USENIX is committed to Open Access to the resear"
ref-68865c3d,34,abstract,arxiv,ok,200,1106,1.0,Fine-Tuning Large Language Models with User-Level Differential Privacy,"We investigate practical and scalable algorithms for training large language models (LLMs) with user-level differential privacy (DP) in order to provably safeguard all the examples contributed by each user. We study two variants of DP-SGD with: (1) example-level sampling (ELS) and per-example gradient clipping, and (2) user-level sampling (ULS) and per-user gradient clipping. We derive a novel user-level DP accountant that allows us to compute provably tight privacy guarantees for ELS. Using this, we show that while ELS can outperform ULS in specific settings, ULS generally yields better results when each user has a diverse collection of examples. We validate our findings through experiments in synthetic mean estimation and LLM fine-tuning tasks under fixed compute budgets. We find that ULS is significantly better in settings where either (1) strong privacy guarantees are required, or (2) the compute budget is large. Notably, our focus on LLM-compatible training algorithms allows us to scale to models with hundreds of millions of parameters and datasets with hundreds of thousands of users."
ref-53e3d330,35,abstract,openalex,ok,200,746,1.0,ZKML: An Optimizing System for ML Inference in Zero-Knowledge Proofs,"Machine learning (ML) is increasingly used behind closed systems and APIs to make important decisions. For example, social media uses ML-based recommendation algorithms to decide what to show users, and millions of people pay to use ChatGPT for information every day. Because ML is deployed behind these closed systems, there are increasing calls for transparency, such as releasing model weights. However, these service providers have legitimate reasons not to release this information, including for privacy and trade secrets. To bridge this gap, recent work has proposed using zero-knowledge proofs (specifically a form called ZK-SNARKs) for certifying computation with private models but has only been applied to unrealistically small models."
